OBJECTID,Provider Number,dist_apart,match source,matching_uuid
475,050586,0,dist threshhold,475-050586
476,050618,0,top dist and str match,476-050618
477,050758,0,dist threshhold,477-050758
479,050709,64,dist threshhold,479-050709
480,050517,0,dist threshhold,480-050517
481,051323,0,dist threshhold,481-051323
482,051312,0,dist threshhold,482-051312
483,050515,37,dist threshhold,483-050515
484,050503,0,dist threshhold,484-050503
485,050424,0,dist threshhold,485-050424
487,050757,73,dist threshhold,487-050757
488,050636,0,dist threshhold,488-050636
489,050115,0,dist threshhold,489-050115
490,050128,0,dist threshhold,490-050128
491,050077,0,top dist and str match,491-050077
492,050100,0,top dist and str match,492-050100
493,050234,0,dist threshhold,493-050234
494,050222,0,dist threshhold,494-050222
495,050324,0,dist threshhold,495-050324
496,050024,0,dist threshhold,496-050024
497,050025,0,top dist and str match,497-050025
498,050026,0,dist threshhold,498-050026
499,050055,0,dist threshhold,499-050055
500,050008,27,dist threshhold,500-050008
501,050228,0,dist threshhold,501-050228
502,050076,32,dist threshhold,502-050076
503,050152,27,dist threshhold,503-050152
504,050668,0,dist threshhold,504-050668
505,050457,0,dist threshhold,505-050457
506,050454,0,top dist and str match,506-050454
507,050407,15,dist threshhold,507-050407
509,050336,0,dist threshhold,509-050336
510,050748,73,dist threshhold,510-050748
511,050167,0,dist threshhold,511-050167
512,050122,12,dist threshhold,512-050122
513,050084,0,dist threshhold,513-050084
514,050118,0,dist threshhold,514-050118
515,050313,0,dist threshhold,515-050313
516,050232,0,dist threshhold,516-050232
517,050633,0,dist threshhold,517-050633
518,050506,14,dist threshhold,518-050506
519,050016,0,dist threshhold,519-050016
520,050007,0,dist threshhold,520-050007
521,050541,40,dist threshhold,521-050541
522,050754,0,dist threshhold,522-050754
523,050197,0,dist threshhold,523-050197
524,050289,0,dist threshhold,524-050289
525,050113,12,dist threshhold,525-050113
526,050070,125,normalized average,526-050070
527,050110,0,dist threshhold,527-050110
528,050107,0,dist threshhold,528-050107
529,050357,0,dist threshhold,529-050357
530,050396,0,dist threshhold,530-050396
531,051331,0,dist threshhold,531-051331
532,053305,0,top dist and str match,532-053305
533,050380,0,dist threshhold,533-050380
534,050441,100,normalized average,534-050441
535,050604,92,dist threshhold,535-050604
536,050688,0,dist threshhold,536-050688
538,050308,0,dist threshhold,538-050308
539,050071,51,normalized average,539-050071
540,050125,0,dist threshhold,540-050125
541,050153,0,dist threshhold,541-050153
542,050038,0,dist threshhold,542-050038
543,050194,0,dist threshhold,543-050194
544,050242,0,dist threshhold,544-050242
545,050714,0,dist threshhold,545-050714
546,050764,0,dist threshhold,546-050764
547,050697,0,top dist and str match,547-050697
548,050280,0,dist threshhold,548-050280
549,051305,0,dist threshhold,549-051305
550,051319,0,dist threshhold,550-051319
551,051316,0,dist threshhold,551-051316
553,050101,0,dist threshhold,553-050101
554,050367,0,dist threshhold,554-050367
555,050385,0,normalized average,555-050385
556,050690,60,dist threshhold,556-050690
558,050136,0,dist threshhold,558-050136
559,050174,0,dist threshhold,559-050174
560,050291,0,dist threshhold,560-050291
561,051321,0,dist threshhold,561-051321
562,050179,0,dist threshhold,562-050179
563,050067,0,dist threshhold,563-050067
564,050726,0,dist threshhold,564-050726
565,050557,0,dist threshhold,565-050557
566,050464,0,dist threshhold,566-050464
567,050766,0,dist threshhold,567-050766
568,050042,0,dist threshhold,568-050042
569,051315,0,dist threshhold,569-051315
570,050057,0,dist threshhold,570-050057
571,050359,0,top dist and str match,571-050359
572,050261,0,dist threshhold,572-050261
573,050335,0,dist threshhold,573-050335
574,050236,0,dist threshhold,574-050236
575,050082,0,dist threshhold,575-050082
576,050159,119,top dist and str match,576-050159
577,050616,0,dist threshhold,577-050616
578,050394,0,dist threshhold,578-050394
579,050549,0,dist threshhold,579-050549
580,050046,0,top dist and str match,580-050046
581,050537,0,dist threshhold,581-050537
582,050127,0,dist threshhold,582-050127
583,050133,0,dist threshhold,583-050133
6046,054148,0,dist threshhold,6046-054148
6066,050512,308,normalized average,6066-050512
6124,052055,0,dist threshhold,6124-052055
6164,054152,0,dist threshhold,6164-054152
6182,050777,51,dist threshhold,6182-050777
6183,054153,0,dist threshhold,6183-054153
6197,051995,0,dist threshhold,6197-051995
6208,053038,0,dist threshhold,6208-053038
6259,053040,0,dist threshhold,6259-053040
6306,054155,0,dist threshhold,6306-054155
6357,054154,0,dist threshhold,6357-054154
6430,053041,0,dist threshhold,6430-053041
5025,051311,0,dist threshhold,5025-051311
5043,054124,18,dist threshhold,5043-054124
5045,052047,0,top dist and str match,5045-052047
5052,054087,0,top dist and str match,5052-054087
5089,054110,0,dist threshhold,5089-054110
5090,053037,0,normalized average,5090-053037
5107,054028,0,dist threshhold,5107-054028
5128,052039,0,dist threshhold,5128-052039
5142,053304,0,top dist and str match,5142-053304
5143,051993,0,dist threshhold,5143-051993
5181,053031,0,dist threshhold,5181-053031
5185,054075,0,dist threshhold,5185-054075
5203,054089,32,dist threshhold,5203-054089
5217,053032,0,dist threshhold,5217-053032
5246,054078,0,dist threshhold,5246-054078
5271,054093,0,dist threshhold,5271-054093
5298,052035,0,dist threshhold,5298-052035
5299,052045,0,dist threshhold,5299-052045
5311,050782,0,top dist and str match,5311-050782
5349,054145,0,dist threshhold,5349-054145
5392,053303,0,top dist and str match,5392-053303
5398,054125,63,dist threshhold,5398-054125
5436,052031,0,dist threshhold,5436-052031
5445,054053,0,top dist and str match,5445-054053
5450,052044,0,top dist and str match,5450-052044
5469,052033,0,dist threshhold,5469-052033
5470,052036,0,dist threshhold,5470-052036
5490,054104,0,dist threshhold,5490-054104
