adm1_code,adm0_a3,population,density,min,max,mean,median,mode,stddev
THA-391,THA,694981,0,0.05326282512396574,48.27522404988607,0.45094276294888697,0.05326282512396574,0.23805017166650894,1.3340383269302691
FJI-2618,FJI,26124,0,0.014412834525628145,21.32329559326172,0.20198194829557967,0.014412834525628145,0.11563776550375483,0.4450836670324292
SWE-262,SWE,137464,0,0.0052773659117519855,27.29885482788086,0.22105195079372486,0.0052773659117519855,0.04625328319643953,0.9660315561176698
MEX-2734,MEX,8866711,0,0.009262173436582088,932.7676391601562,1.035733658316072,0.009262173436582088,0.2597038637440691,6.992667719024958
LCA-5080,LCA,8523,0,0.0,14.276415348052979,1.5241853969787196,0.4255196129515236,0.30087556993040565,2.6258738281532867
ZAF-1189,ZAF,7255059,0,0.0,1983.055908203125,0.4043766918802511,0.0,0.052644360881032776,7.088770801784352
CAF-812,CAF,69447,0,4.711163425314668E-4,2.0622875690460205,0.012796206090562864,4.711163425314668E-4,0.005977599865789198,0.03616890879276641
TLS-544,TLS,78532,0,0.18525178548453078,28.772512435913086,0.8505399231501738,0.3856346880438162,0.5897700086734613,1.2897267223295639
URY-7,URY,22914,0,2.2361949959304184E-4,46.274925231933594,0.03191310126617608,2.2361949959304184E-4,0.002940313866455506,0.8856039276938864
TUN-112,TUN,340200,0,0.02168567106127739,40.800246238708496,0.33051129830777354,0.02168567106127739,0.13035917695975438,1.6257118814350375
ARG-1273,ARG,763674,0,1.2635650728174265E-4,44.777164459228516,0.06399609984133636,1.2635650728174265E-4,0.007483272855141916,0.953487099499078
CPV-5041,CPV,2143,0,0.2945828934510549,1.2761839628219604,0.6090197985335526,0.5392431464231934,0.4948937292609896,0.19596360618970315
MKD-2926,MKD,13851,0,0.03178787231445312,17.975025177001953,0.33883933782973813,0.12272579025738099,0.044730289693241866,0.5492695167585736
KOS-5889,KOS,51117,0,0.01834544915562639,2.2644248008728027,0.8168558433356168,0.6341882297346721,0.34331980107738463,0.48431481230871964
MEX-2721,MEX,1422685,0,0.0,409.82289123535156,0.42646473449556893,0.0,0.08097575124401246,5.332579711397161
PHL-5543,PHL,1861069,37,0.13237060606479645,9543.0498046875,337.3948322335249,182.77715284078644,156.49336806587561,458.7132313958577
MKD-2902,MKD,5071,0,0.02528510056436062,2.804987907409668,0.5119217375965399,0.32027345749298075,0.3016751263837181,0.47034833744051147
BHS-5033,BHS,2759,0,0.01725730352573571,0.36190080642700195,0.053630384947281194,0.03976132877113024,0.031388782222293604,0.036589622498105503
IRL-728,IRL,75345,0,0.010749318271677676,51.70104217529297,0.21205290675044494,0.010749318271677676,0.06442099900750016,1.2412999704798349
KGZ-1117,KGZ,435827,0,0.0,14.833492437998453,0.07663267484663518,0.0,0.02550621410491955,0.3321117207414776
ITA-5378,ITA,558176,0,0.0,446.6490478515625,0.8280637977526321,0.0,0.03394075353074918,7.074209204202781
NAM-3350,NAM,260983,0,4.3250458745000436E-5,61.512451171875,0.07967872827207137,4.3250458745000436E-5,0.06591447691775848,0.25816417851780094
PHL-2588,PHL,810409,0,0.011399872601032257,197.31295776367188,0.8929307551770378,0.011399872601032257,0.3974545956372419,3.2437629624035473
MNG-3331,MNG,1707557,0,0.001022097394237981,67.37168884277344,2.458789316658327,0.001022097394237981,0.20497209243361023,6.7760993619174394
GTM-1949,GTM,746442,0,0.4294986143344786,105.73602676391602,3.543032228828427,0.4294986143344786,1.3851379244810802,6.209138729906233
CYP-3465,CYP,121348,0,0.015704132885163972,26.83812713623047,0.6306281295210583,0.015704132885163972,0.07308625422469059,2.470277925706588
ARG-1302,ARG,394021,0,1.486019186616849E-4,40.624603271484375,0.03244037479817569,1.486019186616849E-4,0.007541702754618854,0.598172320528389
IDN-1234,IDN,4516681,0,0.01639381684255977,150.95816040039062,1.0112195710380525,0.01639381684255977,0.4850469964833392,4.202270540512423
COL-1406,COL,2191172,0,0.007197810647388299,109.70872073703342,0.6148270023526472,0.007197810647388299,0.30249793039872147,2.886339702050124
WSM-4993,WSM,6016,0,0.022517972366919405,1.373390555381775,0.22742066917004788,0.1701760186640918,0.18005460037176907,0.1921350842967395
NZL-3405,NZL,112620,0,0.0,58.14281463623047,0.09442782603105904,0.0,0.015972667993960337,0.9994744631510335
CHL-2705,CHL,1145782,0,0.0013953693245033112,51.43019195556641,0.28605187531020754,0.0013953693245033112,0.056279688102599375,2.0115189210606714
SVN-1029,SVN,4237,0,1.0095345294905152E-4,8.08307933807373,0.11813516776319469,1.0095345294905152E-4,0.026203914111644997,0.38919645483601834
MWI-1914,MWI,482216,0,0.0,204.75457763671875,1.9278639132623758,0.0,0.7645464802730366,4.150040189272731
GBR-5668,GBR,483418,4,1.1926860868237228,733.9481811523438,23.19553902561762,14.994385422237794,1.4651998376673887,25.48621272678908
GEO-3028,GEO,100057,0,0.01410828996449709,9.437028408050537,0.33161099198138044,0.01410828996449709,0.06438577630292523,0.573226019814673
NZL-3404,NZL,137222,0,0.0,64.845458984375,0.08359961712313595,0.0,0.02510570100609185,0.7624014981531562
