State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
OR,"6,789",837,0.63,0.6,"2,483","4,636",336,587,"3,160,871","655,089","1,896,523","397,679","86,201","26,512",1068%,572%,391%,"13,256",534%,286%,195%,"8,645",348%,186%,127%,"5,747",1710%,979%,687%,"2,873",855%,489%,343%,"1,874",558%,319%,224%
PA,"32,817","3,643",0.64,0.61,"11,721","22,269","1,427","2,535","10,101,588","2,181,022","6,060,953","1,275,899","277,852","85,060",726%,382%,259%,"42,530",363%,191%,130%,"27,737",237%,125%,85%,"18,523",1298%,731%,508%,"9,262",649%,365%,254%,"6,040",423%,238%,166%
PR,"7,769",739,0.57,0.64,"3,355","5,562",262,501,"2,737,636","629,621","1,642,582","347,979","76,344","23,199",691%,417%,299%,"11,599",346%,209%,149%,"7,565",225%,136%,97%,"5,090",1943%,1016%,689%,"2,545",971%,508%,344%,"1,660",634%,331%,225%
RI,"2,117",279,0.7,0.72,644,"1,381",77,178,"845,556","170,144","507,334","106,092","22,921","7,073",1098%,512%,334%,"3,536",549%,256%,167%,"2,306",358%,167%,109%,"1,528",1984%,858%,548%,764,992%,429%,274%,498,647%,280%,178%
SC,"11,457","1,459",0.65,0.68,"4,066","7,762",469,964,"3,802,489","795,256","2,281,493","478,813","103,893","31,921",785%,411%,279%,"15,960",393%,206%,139%,"10,409",256%,134%,91%,"6,926",1477%,718%,475%,"3,463",738%,359%,237%,"2,259",482%,234%,155%
SD,"4,247",150,0.61,0.5,"1,663","2,955",75,112,"644,483","132,118","386,690","81,002","17,537","5,400",325%,183%,127%,"2,700",162%,91%,64%,"1,761",106%,60%,41%,"1,169",1559%,1044%,779%,585,780%,522%,390%,381,508%,340%,254%
TN,"18,401","2,309",0.63,0.74,"6,723","12,562",603,"1,456","5,099,734","1,013,356","3,059,840","639,131","137,897","42,609",634%,339%,232%,"21,304",317%,170%,116%,"13,894",207%,111%,76%,"9,193",1525%,631%,398%,"4,597",762%,316%,199%,"2,998",497%,206%,130%
TX,"55,588","7,149",0.61,0.64,"21,803","38,695","2,573","4,861","20,206,495","3,215,906","12,123,897","2,486,847","524,743","165,790",760%,428%,298%,"82,895",380%,214%,149%,"54,062",248%,140%,97%,"34,983",1360%,720%,489%,"17,491",680%,360%,245%,"11,407",443%,235%,160%
UT,"4,869",687,0.57,0.52,"2,116","3,493",328,507,"2,082,530","307,095","1,249,518","254,913","53,422","16,994",803%,487%,349%,"8,497",402%,243%,175%,"5,542",262%,159%,114%,"3,561",1086%,702%,518%,"1,781",543%,351%,259%,"1,161",354%,229%,169%
VA,"17,469","2,007",0.69,0.65,"5,373","11,421",698,"1,353","6,499,678","1,187,867","3,899,807","808,672","172,945","53,911",1003%,472%,309%,"26,956",502%,236%,154%,"17,580",327%,154%,101%,"11,530",1652%,852%,574%,"5,765",826%,426%,287%,"3,760",539%,278%,187%
VT,"1,305",94,0.64,0.45,475,890,52,73,"504,856","109,551","302,914","63,798","13,901","4,253",895%,478%,326%,"2,127",448%,239%,163%,"1,387",292%,156%,106%,927,1783%,1270%,986%,463,890%,634%,493%,302,581%,414%,321%
WA,"11,808","1,493",0.65,0.65,"4,123","7,966",525,"1,009","5,554,591","1,029,040","3,332,755","691,879","148,174","46,125",1119%,579%,391%,"23,063",559%,290%,195%,"15,041",365%,189%,127%,"9,878",1882%,979%,662%,"4,939",941%,489%,331%,"3,221",614%,319%,216%
WI,"11,669","1,506",0.58,0.55,"4,850","8,260",676,"1,091","4,469,267","896,724","2,681,560","560,610","121,083","37,374",771%,452%,320%,"18,687",385%,226%,160%,"12,187",251%,148%,104%,"8,072",1194%,740%,536%,"4,036",597%,370%,268%,"2,632",389%,241%,175%
WV,"6,224",643,0.6,0.65,"2,466","4,345",223,433,"1,459,974","336,326","875,984","185,608","40,729","12,374",502%,285%,199%,"6,187",251%,142%,99%,"4,035",164%,93%,65%,"2,715",1217%,627%,422%,"1,358",609%,314%,211%,885,397%,204%,138%
WY,"1,951",102,0.52,0.36,931,"1,441",65,84,"444,842","84,239","266,905","55,514","11,916","3,701",398%,257%,190%,"1,850",199%,128%,95%,"1,207",130%,84%,62%,794,1222%,945%,778%,397,611%,473%,389%,259,398%,308%,254%
